"","time","title"
"1",2021-09-01,"google, apple hit by law ending dominance over app payments"
"2",2021-09-01,"google and apple hit by law giving app developers more payment options"
"3",2021-09-01,"south korea passes bill limiting apple and google control over app store payments"
"4",2021-09-01,"south koreas parliament passes bill to curb google, apple commission dominance"
"5",2021-09-01,"the next apple watch may be delayed due to manufacturing issues"
"6",2021-08-30,"jon stewart to make his return to television this september with apple tv original series2 min read"
"7",2021-08-30,"jon stewart to make his return to television this september with apple tv original series"
"8",2021-08-30,"globalstar stock soars after report says apple could add satellite communications to next iphone"
"9",2021-08-30,"apple sets debut date for the problem with jon stewart"
"10",2021-08-30,"apple reveals surprise new acquisition to seriously upgrade apple music"
"11",2021-08-30,"globalstar stock rockets after report says apple could add satellite communications to next iphone"
"12",2021-08-30,"apple buys primephonic classical music service, will launch dedicated classical music app next year"
"13",2021-08-30,"apples next iphone could offer satellite service the space industry is jumping"
"14",2021-08-30,"google and apples next regulatory headaches loom across the pacific"
"15",2021-08-30,"apple buys classical music streaming service primephonic"
"16",2021-08-30,"australia is considering new laws for apple, google, wechat digital wallets"
"17",2021-08-30,"top apple analyst says iphone 13 will support calls via satellites directly"
"18",2021-08-30,"apple ceo tim cook earned 265 million in 2020 heres the breakdown"
"19",2021-08-30,"boroden heres how to approach amazon, apple and nvidia based on their charts"
"20",2021-08-30,"south korea to pass law to curb google, apple commission dominance"
"21",2021-08-30,"apple cares about privacy, unless you work at apple"
"22",2021-08-30,"apple watch series 7 reportedly has flat sides and bigger screens"
"23",2021-08-30,"apple, google, wechat digital wallets may face new regulation laws in australia"
"24",2021-08-29,"apple hits alltime high as tariffs are put on hold"
"25",2021-08-29,"mapmyindia, indian firm that powers apple maps and alexa, heads for ipo"
"26",2021-08-29,"developers face tough choice after apples app store settlement"
"27",2021-08-29,"week in review an awardwinner in la, time to sell im the uk, and a slice of the big apple1 min read"
"28",2021-08-29,"week in review an awardwinner in la, time to sell im the uk, and a slice of the big apple"
"29",2021-08-29,"mapmyindia, indian firm that powers apple maps, heads for ipo"
"30",2021-08-28,"what does apples app store settlement mean for developers"
"31",2021-08-28,"serious warning issued for millions of apple iphone users"
"32",2021-08-28,"apple watch series 7 surprise images hint at the real thing"
"33",2021-08-28,"what to watch on apple tv, netflix and in theaters this weekend"
"34",2021-08-28,"apples magsafe charger and the latest gopro highlight this weekends best deals"
"35",2021-08-28,"a story about hopscotch going through app store review coding app ceo lashes out at apple in a twitter thread"
"36",2021-08-28,"ios 15 how apples mindblowing new iphone features will beat facebook"
"37",2021-08-28,"apple launches iphone 12, 12 pro service programme for no sound issue"
"38",2021-08-28,"apple loop stunning iphone leak, powerful macbook pro features, massive iphone warning"
"39",2021-08-28,"its no google, but apple has a future in advertising"
"40",2021-08-28,"the week in charts global jihad, apples success, the federal reserve and more"
"41",2021-08-28,"why apple won its legal settlement with developers"
"42",2021-08-28,"apple has launched free service program for these iphones"
"43",2021-08-28,"if your iphone 12s earpiece failed, apple might fix it for free"
"44",2021-08-28,"iphone 12, iphone 12 pro service programme for no sound issues announced by apple"
"45",2021-08-27,"apple chief executive tim cook collects 750 million in final payout"
"46",2021-08-27,"apple lets developers accept payments outside app store report"
"47",2021-08-27,"apple eases rules around app store ahead of epic games ruling"
"48",2021-08-27,"restaurants grapple with vaccine mandates in historically tight labor market"
"49",2021-08-27,"this is how the upcoming apple watch series 7 may look like"
"50",2021-08-27,"we try to target our products to a market that apple would be foolish to chase"
"51",2021-08-27,"vergecast 10 years of tim cook, iphone 13 rumors, and the onlyfans decision"
"52",2021-08-27,"loop capital says selling peloton would be like dumping apple in ipod days"
"53",2021-08-27,"apple stock how it could be a great inflation play"
"54",2021-08-27,"apple avoids another legal fight with app developers"
"55",2021-08-27,"apple to allow more outofapp purchases after antitrust concerns"
"56",2021-08-27,"tim cook gets 750 million bonus on 10th anniversary as apple ceo"
"57",2021-08-27,"apple, peloton, jerome powell and vmware 5 things you must know"
"58",2021-08-27,"apple iphone 13 series claimed to launch on september 13, preorders said to begin september 17"
"59",2021-08-27,"apple airtag tracker starts receiving firmware update, new features yet unannounced report"
"60",2021-08-27,"google said to pay apple 15 billion to remain default search engine on safari in 2021"
"61",2021-08-27,"apple announces app store concessions as pressure grows"
"62",2021-08-27,"apple loosens app store payment rules in lawsuit settlement"
"63",2021-08-27,"apple to let app developers alert users to other payment methods"
"64",2021-08-27,"apple reaches tentative deal to settle app store lawsuit what to know 2 min read"
"65",2021-08-27,"heres why nvidia will surpass apples valuation in 5 years"
"66",2021-08-27,"apple reaches tentative deal to settle app store lawsuit what to know"
"67",2021-08-27,"apple will change its app store practices in legal settlement"
"68",2021-08-27,"apple makes changes to the app store in settlement with developers"
"69",2021-08-27,"apple will allow developers to email customers to bypass app store billing"
"70",2021-08-27,"tim cook receives over five million shares of apple stock worth 750 million"
"71",2021-08-27,"in major policy change, apple will allow developers to email customers about alternatives to app store billing"
"72",2021-08-27,"apple settlement lets app makers advertise outside payments"
"73",2021-08-27,"apple settlement gives app developers a way to avoid its commission"
"74",2021-08-27,"apples 100 million settlement agreement changes a key app store rule for developers"
"75",2021-08-27,"apple watch user base crosses 100 million as smartwatch market grows 27 percent yoy in q2 counterpoint"
"76",2021-08-27,"apple strikes app store deal with small developers as it waits for fortnite ruling"
"77",2021-08-27,"apple lets developers accept payments outside app store explained in seven points"
"78",2021-08-26,"apple will halve its commission for eligible news subscriptions"
"79",2021-08-26,"apple will take a smaller cut of publishers sales if they join apple news"
"80",2021-08-26,"apple will reduce app store fees if publishers provide apple news content"
