"","time","title"
"1","2021-08-27","a race against covid how moderna and pfizerbiontech developed vaccines in record time"
"2","2021-08-27","how moderna and pfizerbiontech developed covid vaccines in record time"
"3","2021-08-27","cnbc exclusive how moderna and pfizerbiontech developed vaccines in record time"
"4","2021-08-25","pfizer, biontech seek full approval for third covid shot"
"5","2021-08-25","explained what fda full approval to pfizerbiontech vaccine means"
"6","2021-08-24","europe open shares up on us approval of pfizerbiontech vaccine"
"7","2021-08-24","fda grants full approval to pfizerbiontechs covid shot, clearing path to more vaccine mandates"
"8","2021-08-24","nasdaq ends at record as fda fully approves pfizerbiontech vaccine"
"9","2021-08-24","fda fully approves pfizerbiontechs vaccine, a first for a covid19 shot"
"10","2021-08-16","pfizer, biontech seek fda clearance for covid19 booster"
"11","2021-08-16","turkey offers additional pfizerbiontech shots amid concern over chinese vaccine"
"12","2021-08-16","pfizer, biontech submit boosterdose data to fda, see trial progress"
"13","2021-08-09","biontech stock jumps as covid vaccine lifts profit past estimates"
"14","2021-08-09","biontech says covid19 vaccine repeats beat devising new one for now"
"15","2021-08-09","biontech says has supplied more than 1 billion covid vaccine doses so far"
"16","2021-08-09","biontech stock climbs earnings blew past expectations"
"17","2021-07-27","biontech ceo says vaccine is growing less effective4 min read"
"18","2021-07-27","barrons biontech ceo says vaccine is growing less effective"
"19","2021-07-27","biontech ceo says vaccine is growing less effective"
"20","2021-07-26","covid19 vaccine pioneer biontech plans malaria, tuberculosis shots"
"21","2021-07-26","biontech says it plans to develop an mrna vaccine to prevent malaria"
"22","2021-07-24","longer gap in pfizerbiontech covid vaccine boosts antibody levels study"
"23","2021-07-24","pfizer and biontech to supply us with 200 million covid shots"
"24","2021-07-19","biontech to buy tcell receptor facility and platform from gilead sciences"
"25","2021-07-12","taiwan to receive 10 million doses of biontech covid vaccine"
"26","2021-07-11","taiwans tsmc, foxconn say they are in process of signing deal for biontech covid19 vaccines"
"27","2021-07-09","pfizer and biontech plan to seek fda approval for covid19 booster1 min read"
"28","2021-07-09","pfizer and biontech to develop booster vaccine for delta variant"
"29","2021-07-09","pfizer, biontech to develop booster vaccine for delta variant of covid19"
"30","2021-07-09","pfizer and biontech plan to seek fda approval for covid19 booster"
"31","2021-07-09","pfizerbiontech to seek authorization for 3rd covid shot statement"
