"","time","title"
"1",2021-09-04,"mukesh ambanis 50 phone built by google can unleash a credit revolution for banks"
"2",2021-09-01,"south korea passes bill limiting apple and google control over app store payments"
"3",2021-09-01,"apple and google hit by south korean apppayment law"
"4",2021-09-01,"search covid vaccine near me on google to book a slot mandaviya"
"5",2021-09-01,"after pixel 6, google may make chips for chromebooks and tablets"
"6",2021-09-01,"android 101 how to download or share a google photos album"
"7",2021-09-01,"apple and google must allow developers to use other payment systems, new korean law declares"
"8",2021-09-01,"samsung galaxy f42 5g specifications leak via google play console listing, india launch expected soon"
"9",2021-08-30,"google and apples next regulatory headaches loom across the pacific"
"10",2021-08-30,"australia is considering new laws for apple, google, wechat digital wallets"
"11",2021-08-30,"google pixel 6, pixel 6 pro worldwide release reportedly happening in september"
"12",2021-08-30,"how googles push into indian retail banking challenges traditional lenders"
"13",2021-08-30,"south korea to pass law to curb google, apple commission dominance"
"14",2021-08-30,"google pixel 6, pixel 6 pro tipped to launch on september 13"
"15",2021-08-30,"apple, google, wechat digital wallets may face new regulation laws in australia"
"16",2021-08-29,"google to restructure cloud business, with some roles eliminated"
"17",2021-08-29,"google reveals the 10 most popular travel destination trends of 2019"
"18",2021-08-28,"google play app store revenue hit 112bn in 2019, lawsuit says"
"19",2021-08-28,"google allegedly offered netflix a break on the usual play store commission"
"20",2021-08-28,"google pay to allow users open fixed deposits on its platform in india report"
"21",2021-08-28,"android circuit galaxy z fold 3 reviewed, oneplus buds pro review, googles torrid messaging apps"
"22",2021-08-28,"its no google, but apple has a future in advertising"
"23",2021-08-28,"airtel may soon get several thousands of crores investment from google"
"24",2021-08-28,"airtel may soon get several thousands of crores in investment from google"
"25",2021-08-27,"after jio, google now in talks to make large investments in airtel"
"26",2021-08-27,"googles new ad goes full jony ive on the pixel 5a headphone jack"
"27",2021-08-27,"lps offers the iamremarkable workshop by google to its students and faculty"
"28",2021-08-27,"google issues youtube security warning for 2 million creators"
"29",2021-08-27,"google said to pay apple 15 billion to remain default search engine on safari in 2021"
"30",2021-08-27,"google sheets can now suggest automatic, contextaware formulas and functions"
"31",2021-08-27,"vivo x70 pro leaked renders show mi 11 ultralike design, google play console tips specifications"
"32",2021-08-27,"google, microsoft pledge billions in cybersecurity investments"
"33",2021-08-27,"google estimated to be paying 15 billion to remain default search engine on safari"
"34",2021-08-27,"tokyo paralympics day 3 google doodle champion island games celebrate with animated archery game"
"35",2021-08-26,"ny gov hochuls top aide is married to a lobbyist for verizon, google, airbnb"
"36",2021-08-26,"google sheets formula suggestions are like autofill for math"
"37",2021-08-26,"google dragnets gave cops data on phones located at kenosha riot arsons"
"38",2021-08-26,"google, microsoft plan to spend billions on cybersecurity after meeting with biden"
"39",2021-08-26,"tokyo paralympics day 2 google doodle champion island games offer swimming as special game"
"40",2021-08-26,"google finally releases youtube music wear os app, but only for samsungs new watches"
"41",2021-08-26,"google and microsoft promise billions to help bolster us cybersecurity"
