"","time","title"
"1","2021-08-30","the surprising way nike ceo john donahoe starts his day"
"2","2021-08-26","breaking dow down 114 points on losses in shares of nike, caterpillar"
"3","2021-08-26","dow down 114 points on losses in shares of nike, caterpillar"
"4","2021-08-25","opinion like nike, patagonia rightly puts its principles ahead of sales in jackson hole"
"5","2021-08-25","like nike, patagonia rightly puts its principles ahead of sales in jackson hole"
"6","2021-08-19","serena williams, nike unveil shoe and apparel collection"
"7","2021-08-18","serena williams and nike unveil shoe and apparel collection"
"8","2021-08-17","nike and adidas should be watching their backs in china2 min read"
"9","2021-08-05","nike ceo the pandemic taught us the importance of agility"
"10","2021-08-01","wall streets top analysts see tesla and nike share going higher"
"11","2021-07-23","fridays biggest analyst calls apple, nike, qualcomm, facebook, alphabet more"
"12","2021-07-22","disgraced lawyer avenatti to appeal sentence, conviction in nike extortion case"
"13","2021-07-21","nike manufacturing in vietnam grinds to a halt due to covid19, creating another supply chain challenge"
"14","2021-07-19","nike could run out of sneakers from vietnam amid covid crisis, sp global warns"
"15","2021-07-19","nike could run out of sneakers made in vietnam as covid crisis worsens, sp global warns"
"16","2021-07-10","how nfl, nike benefit from jersey number changes sport of money"
"17","2021-07-09","avenatti vs nike celebrity lawyer sentenced to 30 months in prison for extortion"
"18","2021-07-09","could nike still be in trouble after avenattis arrest"
"19","2021-07-09","michael avenatti namedrops trump, r kelly in nike extortion"
"20","2021-07-08","michael avenatti sentenced to 2 12 years for trying to extort nike5 min read"
"21","2021-07-08","michael avenatti sentenced to 2 12 years in prison for trying to extort 25 million from nike"
"22","2021-07-08","trump foe avenatti weeps as he is sentenced to 25 years for nike extortion"
"23","2021-07-08","trump foe michael avenatti weeps as he is sentenced to 25 years in prison for nike extortion"
"24","2021-07-08","michael avenatti to be sentenced thursday for trying to extort millions of dollars from nike"
"25","2021-07-08","michael avenatti faces sentencing for trying to extort millions from nike"
"26","2021-07-08","disgraced trump foe michael avenatti faces sentencing for nike extortion scheme"
"27","2021-07-05","motorola edge 20, motorola edge 20 lite, motorola edge 20 pro monikers tipped july launch expected"
"28","2021-07-01","how foot locker stock can continue to benefit from nikes success"
"29","2021-06-29","what nike, starbucks stocks tell jim cramer about tesla and china"
"30","2021-06-29","nike, wells fargo, infrastructure deal 5 things you must know friday"
"31","2021-06-28","nike nearly doubled its revenue yearoveryear and says theres even more growth to come2 min read"
"32","2021-06-28","nike nearly doubled its revenue yearoveryear and says theres even more growth to come"
