"","time","title"
"1",2021-09-01,"norway grapples with rising political influence of 14tn oil fund"
"2",2021-09-01,"north sea oil producers push uk to back 18 new projects"
"3",2021-09-01,"opec seen sticking to policy despite higher oil demand"
"4",2021-09-01,"iraqs oil exports rise to 3054 mln bpd in august oil ministry"
"5",2021-09-01,"opec committee expects oil market to return to surplus in 2022"
"6",2021-09-01,"in climate reversal, biden okays new oil and gas mega auction"
"7",2021-09-01,"new law stokes tension in nigerias blighted oil delta"
"8",2021-09-01,"opec raises 2022 oil demand growth forecast as us pushes to hike output"
"9",2021-09-01,"opec and other producers will meet to decide oil output"
"10",2021-08-30,"global marketsglobal equities hit record highs oil closes higher"
"11",2021-08-30,"oil, gasoline prices rise as ida kicks hurricane season into a higher gear"
"12",2021-08-30,"hurricane ida will push gasoline prices higher, warns canary oil ceo"
"13",2021-08-30,"infiltration bid foiled along loc in poonch, one terrorist killed"
"14",2021-08-30,"oil up but off session highs after ida weakens to tropical storm"
"15",2021-08-30,"oil companies on us gulf coast survey idas damage to refineries"
"16",2021-08-30,"pemex restores oil output suspended due to platform fire"
"17",2021-08-30,"global marketsglobal equities hit record highs oil edges up in choppy trade"
"18",2021-08-30,"global marketscautious fed keeps world stocks happy, oil slips from highs"
"19",2021-08-30,"oil slips as hurricane ida weakens, opec in focus for output increase"
"20",2021-08-30,"oil prices drop after hurricane ida hits us gulf rigs, refineries"
"21",2021-08-30,"hurricane ida hit the oil industry hard as it headed to new orleans"
"22",2021-08-30,"costco shoppers see toilet paper, water disappear from store shelves amid shortages"
"23",2021-08-30,"one piece 1024 spoilers, raw scans, release date and more"
"24",2021-08-30,"trading natural gas and oil in wake of hurricane ida"
"25",2021-08-30,"chip shortage may spoil the party for carmakers this festive season"
"26",2021-08-30,"oil and gasoline futures gyrate after ida disrupts production"
"27",2021-08-30,"don poynter, who made toilets talk and golf balls walk, dies at 96"
"28",2021-08-30,"libya oil company boss ignores ministers suspension order"
"29",2021-08-30,"opec to defy biden and keep oil production target"
"30",2021-08-30,"saudi arabia records highestever nonoil exports in june 2021"
"31",2021-08-30,"crude oil prices rise as hurricane makes its way into the gulf"
"32",2021-08-29,"us could become a sustained net oil exporter as soon as next year, iea says"
"33",2021-08-29,"saudi arabias nonoil, oil exports increase by 521 and 1261 respectively in q2"
"34",2021-08-29,"opec should reconsider output increase kuwaiti oil minister"
"35",2021-08-28,"oil firms slash us gulf of mexico output by 91 ahead of powerful hurricane ida"
"36",2021-08-27,"exclusivejapans inpex sells venezuela oil and gas assets to local group sources"
"37",2021-08-27,"rev shark the snake bite bottom uncoils to the upside"
"38",2021-08-27,"lime the new and efficient lowcost soil stabilizer"
"39",2021-08-27,"poor monsoon likely to hurt india oilseed, cotton output, says ncml"
"40",2021-08-27,"oil price jumps as storm approaches gulf of mexico production hub"
"41",2021-08-27,"us oil prices up over 10 for the week as hurricane ida threatens gulf of mexico3 min read"
"42",2021-08-27,"to pause or not to pause oil output increases is the question opec faces as it meets wednesday5 min read"
"43",2021-08-27,"us oil prices up over 10 for the week as hurricane ida threatens gulf of mexico"
"44",2021-08-27,"to pause or not to pause oil output increases is the question opec faces as it meets wednesday"
"45",2021-08-27,"nigerian state oil company to tap aramco experience as it considers ipo after posting first profit"
"46",2021-08-27,"oil climbs on supply concerns as storm nears gulf of mexico market wrap"
"47",2021-08-27,"smuggling of 11 million captagon pills into saudi arabia foiled"
"48",2021-08-27,"crude oil price rises on storm concerns, brent jumps above 71 a barrel"
"49",2021-08-27,"oil prices rise as tropical storm threatens gulf of mexico"
"50",2021-08-27,"oil prices jump as storm approaches gulf of mexico production hub"
"51",2021-08-27,"afghans are the victims, former afghanistan ambassador says amid kabul turmoil"
"52",2021-08-27,"indian oil expands jv with malaysias petronas to focus on lng plants"
"53",2021-08-27,"emerging marketsstocks flat, still set for best week since february rouble up on oil jump"
"54",2021-08-27,"indias palm oil mission opportunities and challenges"
"55",2021-08-27,"newcomers in bjp spoiled partys relationship with shiv sena, says raut in attack on rane"
"56",2021-08-27,"libyas arabian gulf oil company halts activities due to fund shortage"
"57",2021-08-27,"oil climbs as storm approaches gulf of mexico production hub"
"58",2021-08-27,"jadwa revises saudi 2021 gdp growth higher as nonoil sector improves"
"59",2021-08-26,"update 7oil rally falters on pandemic surge, renewed mexico supply"
"60",2021-08-26,"update 6oil down 1 pandemic surge, renewed mexico supply end rally"
"61",2021-08-26,"naturalgas futures mark highest finish since 2018 oil futures finish lower"
"62",2021-08-26,"october wti oil loses 94 cents or 14, to settle at 6742bbl"
"63",2021-08-26,"oil declines 1 percent on demand concerns as covid surges market wrap"
"64",2021-08-26,"hindustan oil exploration company ltd compliancesreg 39 3 details of loss of certificate duplicate certificate"
"65",2021-08-26,"why theres trouble ahead for oil refiners 3 min read"
"66",2021-08-26,"oil prices fall after 3day winning streak naturalgas futures rally on storm risk"
"67",2021-08-26,"oil has only done this twice in past 20 years it could forecast a 50 rally"
"68",2021-08-26,"saudi biotech center to improve the health of an oildependent economy"
"69",2021-08-26,"crude oil prices decline on fuel demand worries wti trades below 68 a barrel"
"70",2021-08-26,"global oil majors may be joining race for bpcl document"
"71",2021-08-26,"update 3oil rally ends amid covid19 concerns, returning supply"
"72",2021-08-26,"oil financier goes green and hopes its cleanenergy past doesnt repeat"
"73",2021-08-26,"global oil majors may be joining race to acquire bpcl report"
"74",2021-08-26,"oil india recruitment 2021 apply online for 535 grade iii posts"
"75",2021-08-26,"update 2oil rally ends amid covid19 concerns, returning supply"
"76",2021-08-26,"ambanis green push wont stop oil from boosting his 80bn fortune"
"77",2021-08-26,"mukesh ambanis green push wont stop oil from boosting his 80 billion fortune"
"78",2021-08-26,"oil prices fall first day in four as virus concerns return"
"79",2021-08-26,"mukesh ambani is going green but its oil that fuels reliances bottomline"
"80",2021-08-26,"backlash grows over big oil drilling in the north sea"
"81",2021-08-26,"big oils bid to lure back investors with cash could ultimately fail"
"82",2021-08-26,"mukesh ambani is going green but its oil that fuels rils bottomline"
"83",2021-08-25,"forexdollar trades flat as us yields rise, oil advances"
"84",2021-08-25,"oil edges higher on us fuel demand, extends rally"
"85",2021-08-25,"oil edges higher on us fuel demand, extends rally for third session"
"86",2021-08-25,"oil prices end higher with us crude supplies down a third straight week"
"87",2021-08-25,"aramco trading company to join platts asian oilprice assessment"
"88",2021-08-25,"oil rises toward 72 on us demand picture market wrap"
